source_stop_id,target_stop_id,weight,type
609f0950-bb8c-4eaf-a931-8575b8aff1ac,2f874852-bc80-4ff3-b6bf-a914e31251c8,83.11,WALK
2f874852-bc80-4ff3-b6bf-a914e31251c8,609f0950-bb8c-4eaf-a931-8575b8aff1ac,83.11,WALK
6efecef0-52ba-4a47-9991-9bab5ce31340,5d7f28a6-2a2a-4333-aa06-48edfb652f86,140.89,WALK
5d7f28a6-2a2a-4333-aa06-48edfb652f86,6efecef0-52ba-4a47-9991-9bab5ce31340,140.89,WALK
6efecef0-52ba-4a47-9991-9bab5ce31340,b905ae6a-f1e1-4057-8923-481902ed5a8e,186.07,WALK
b905ae6a-f1e1-4057-8923-481902ed5a8e,6efecef0-52ba-4a47-9991-9bab5ce31340,186.07,WALK
6efecef0-52ba-4a47-9991-9bab5ce31340,38b3abed-0592-407b-96c3-85a026f2e192,123.77,WALK
38b3abed-0592-407b-96c3-85a026f2e192,6efecef0-52ba-4a47-9991-9bab5ce31340,123.77,WALK
6efecef0-52ba-4a47-9991-9bab5ce31340,a719a87c-4e93-4387-a6d1-2631a487f7e0,11.09,WALK
a719a87c-4e93-4387-a6d1-2631a487f7e0,6efecef0-52ba-4a47-9991-9bab5ce31340,11.09,WALK
6efecef0-52ba-4a47-9991-9bab5ce31340,16578e36-c682-4083-bd29-4973445dc0fe,104.74,WALK
16578e36-c682-4083-bd29-4973445dc0fe,6efecef0-52ba-4a47-9991-9bab5ce31340,104.74,WALK
6efecef0-52ba-4a47-9991-9bab5ce31340,9b85d4b0-c594-4e0e-9ce2-d0986256c270,164.47,WALK
9b85d4b0-c594-4e0e-9ce2-d0986256c270,6efecef0-52ba-4a47-9991-9bab5ce31340,164.47,WALK
91fb6c6e-49cf-49d3-97d4-6ae228f9bfa1,9ab2717b-1396-4885-bb5b-9857d7195d0d,112.18,WALK
9ab2717b-1396-4885-bb5b-9857d7195d0d,91fb6c6e-49cf-49d3-97d4-6ae228f9bfa1,112.18,WALK
91fb6c6e-49cf-49d3-97d4-6ae228f9bfa1,2265e4de-a537-4f97-882b-c94c24aabfb0,9.7,WALK
2265e4de-a537-4f97-882b-c94c24aabfb0,91fb6c6e-49cf-49d3-97d4-6ae228f9bfa1,9.7,WALK
91fb6c6e-49cf-49d3-97d4-6ae228f9bfa1,d9f26e1a-77fc-48b0-a024-93fd38eb88a4,6.65,WALK
d9f26e1a-77fc-48b0-a024-93fd38eb88a4,91fb6c6e-49cf-49d3-97d4-6ae228f9bfa1,6.65,WALK
91fb6c6e-49cf-49d3-97d4-6ae228f9bfa1,4e8ccfa1-b58c-4ee1-ad82-2e8a645071f3,103.55,WALK
4e8ccfa1-b58c-4ee1-ad82-2e8a645071f3,91fb6c6e-49cf-49d3-97d4-6ae228f9bfa1,103.55,WALK
35dbaf26-2fa4-45c4-87fc-81d1ff13b005,a12ab184-fb4b-449f-9884-88e0a1672e64,22.13,WALK
a12ab184-fb4b-449f-9884-88e0a1672e64,35dbaf26-2fa4-45c4-87fc-81d1ff13b005,22.13,WALK
35dbaf26-2fa4-45c4-87fc-81d1ff13b005,2d42d8e2-26a8-4a74-809c-f436d05c8a54,51.23,WALK
2d42d8e2-26a8-4a74-809c-f436d05c8a54,35dbaf26-2fa4-45c4-87fc-81d1ff13b005,51.23,WALK
35dbaf26-2fa4-45c4-87fc-81d1ff13b005,41c8c7eb-62ef-45d8-b5b1-221dd3c0022c,36.9,WALK
41c8c7eb-62ef-45d8-b5b1-221dd3c0022c,35dbaf26-2fa4-45c4-87fc-81d1ff13b005,36.9,WALK
295616c0-387b-4f60-a337-7743cd6be04e,c87db9be-1fba-4102-a743-0ee4317dd5af,26.94,WALK
