stop_id,name
609f0950-bb8c-4eaf-a931-8575b8aff1ac,Savske stolpnice
6efecef0-52ba-4a47-9991-9bab5ce31340,Ajdovščina
91fb6c6e-49cf-49d3-97d4-6ae228f9bfa1,Sostro
35dbaf26-2fa4-45c4-87fc-81d1ff13b005,Tbilisijska
295616c0-387b-4f60-a337-7743cd6be04e,Bavarski dvor
8f56b058-1ae3-44f5-8600-4330f2264d78,Privoz
249f3d10-f5f0-467b-8f60-f35fd62d9054,Iška vas šola
c2827897-b9fe-4bfc-b4ed-880f11a2359e,ZELENA JAMA
01d1f388-d915-4e9f-bc3d-4432a73a216e,Večna pot
c6eab761-36e0-4bf8-88ed-48e594ed375b,Parmova
a12ab184-fb4b-449f-9884-88e0a1672e64,Tbilisijska
ff1f708c-989e-4cc5-8e75-02717b5f9744,Študentsko naselje
300f1367-4ba4-4416-90e4-caa8f33e9144,LITOSTROJSKA
cc9cbd94-6da7-41ff-a728-cfd4b47dfcc0,Pod Urhom
ee03ecf6-db6d-4ecc-90cd-5b3afc8afb91,PRŽAN
98a94a2a-894f-4ff0-9967-1dd986bf0cfd,Litostroj
2ec182e2-769f-427f-b9b5-c4118890cb96,Stožice
11d74c00-da13-4cad-883e-c6dcf8edcbe8,Aleja
1c0c01ee-6258-4328-9d01-489eb421a8d9,Nadgorica
521edd75-c364-480a-af9e-a1c9815b6dd7,Gasilska brigada
b5400e28-b0c3-4a02-9da2-084c465bd1d3,Pot v Smrečje
f2bac6f5-5bbc-4f15-acdd-014d86770ce9,Kneza Koclja
379bc761-04b5-4227-be76-3b870fe3e69f,Pot na Fužine
087e50b6-7677-4a85-802f-5694266fe38b,Aškerčeva
7294875b-8482-484a-b04d-95b921612001,Vič
930fed8f-1d4d-40c6-9a3b-53697263a0f2,Rast
1eca3479-6e2c-4f21-bf45-4db410041181,Peč pri Polici
1cc5f00f-c982-4016-8553-40a3da4f36ad,Dobrunjska c.
db046e79-c658-433c-8812-157fd965a9f6,Galjevica
f5e84751-7377-402c-974c-53276e422e70,Na klancu
5b59d508-0860-4f50-b5ab-72a79046b488,Snoj
ecc4ae87-ae08-4b94-995c-452fdd94df7f,Privoz
be5fb719-eda2-4831-90c6-249248ea22dd,ČRNUČE
9cfac7e2-9653-4e52-a6d3-27756d27f817,Kino Šiška
d5735919-60bb-4720-a695-9f5155a4f109,Plešičeva
a6b87518-2a7f-4505-898f-245ebe23c909,Krožna pot
6459bd02-d8f8-413e-9402-10b916f09a4f,7. septembra
abc9fd26-5442-468b-93b6-4d5eb76d0f1f,BTC-Emporium
d5961b09-f5e8-4a0b-9bbb-2515ff0a8376,Ob daljnovodu
9e109242-5aad-4fb7-b0c8-576eef8aa4e0,VEVČE
6182f8e8-c45e-4606-b4a4-d909bd44d2cc,Gornji trg
67d66d40-e8ba-4bc0-a9cf-814dce3ccbea,Jadranska
7ad774b6-172a-401b-b186-358aa2d560a2,Jarše
c627c9f2-af02-4d83-969a-566719bb09e3,GAMELJNE
